Sample,Site,Drainage,G1,G2,G3,G4,G5,G6,G7,G8,G9,S1,S2,S3,S4,S5,S6,S7,S8,S9,Ai,STi
G091464-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G091465Dam2,Damier 2,North slope,Pore-DAB*322,,,,,,,,,3,,,,,,,,,1,1
G091465-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*249,,,,,,,3,9,9,,,,,,,3,2
G091466-Dam2,Damier 2,North Slope,Pore-DAB*277,Pore-DAB*249,Pore-DAB*202,Pore-DAB*514,,,,,,13,9,9,10,,,,,,4,3
G091467-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*514,,,,,,,3,9,10,,,,,,,3,3
G091468-Dam2,Damier 2,North Slope,Pore-DAB*415,Pore-DAB*202,Pore-DAB*249,Pore-DAB*514,Pore-DAB*322,,,,,15,9,9,10,3,,,,,5,4
G091469-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*284,Pore-DAB*202,,,,,,,3,3,9,,,,,,,3,2
G091470Dam2,Damier 2,North slope,Pore-DAB*322,,,,,,,,,3,,,,,,,,,1,1
G091470-Dam2,Damier 2,North Slope,Pore-DAB*322,,,,,,,,,3,,,,,,,,,1,1
G091471Dam2,Damier 2,North slope,Pore-DAB*218,Pore-DAB*219,Pore-DAB*342,Pore-DAB*202,,,,,,8,10,15,9,,,,,,4,4
G091472-Dam2,Damier 2,North Slope,Pore-DAB*284,,,,,,,,,3,,,,,,,,,1,1
G101014D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*202,,,,,,,3,9,9,,,,,,,3,2
G101015D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G101018D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G101019D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G101020D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*342,,,,,,,3,9,15,,,,,,,3,3
G101021-D2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*342,Pore-DAB*202,,,,,,,3,15,9,,,,,,,3,3
G101024D2,Damier 2,North slope,Pore-DAB*415,Pore-DAB*202,,,,,,,,15,9,,,,,,,,2,2
G101025D2,Damier 2,North slope,Pore-DAB*347,Pore-DAB*415,Pore-DAB*249,Pore-DAB*202,,,,,,15,15,9,9,,,,,,4,2
G101026D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*202,,,,,,,3,9,9,,,,,,,3,2
G101027D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*202,,,,,,,3,9,9,,,,,,,3,2
G101028D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*347,Pore-DAB*202,,,,,,,3,15,9,,,,,,,3,3
G101030D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G101034D2,Damier 2,North slope,Pore-DAB*284,Pore-DAB*249,Pore-DAB*202,,,,,,,3,9,9,,,,,,,3,2
G101035D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*415,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G101036D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*284,Pore-DAB*202,,,,,,,3,3,9,,,,,,,3,2
G101037D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*249,,,,,,,3,9,9,,,,,,,3,2
G101038D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G101039-D2,Damier 2,North Slope,Pore-DAB*284,Pore-DAB*415,Pore-DAB*322,Pore-DAB*202,Pore-DAB*249,,,,,3,15,3,9,9,,,,,5,3
G101040D2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G101041D2,Damier 2,North slope,Pore-DAB*322,,,,,,,,,3,,,,,,,,,1,1
G101042D2,Damier 2,North slope,Pore-DAB*284,Pore-DAB*202,Pore-DAB*342,,,,,,,3,9,15,,,,,,,3,3
G101044D2,Damier 2,North slope,Pore-DAB*342,Pore-DAB*202,,,,,,,,15,9,,,,,,,,2,2
G100714M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,Pore-DAB*249,Pore-DAB*431,,,,,,4,9,9,13,,,,,,4,3
G100715M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
G100716M16,Marianne 16,North slope,Pore-DAB*256,Pore-DAB*250,Pore-DAB*251,Pore-DAB*240,,,,,,9,3,15,4,,,,,,4,4
G100717M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,Pore-DAB*431,,,,,,,4,9,13,,,,,,,3,3
G100718M16,Marianne 16,North slope,Pore-DAB*250,Pore-DAB*240,Pore-DAB*251,Pore-DAB*256,Pore-DAB*431,,,,,3,4,15,9,13,,,,,5,5
G100719M16,Marianne 16,North slope,Pore-DAB*250,Pore-DAB*240,Pore-DAB*251,Pore-DAB*256,Pore-DAB*431,,,,,3,4,15,9,13,,,,,5,5
G100720M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*249,Pore-DAB*249,Pore-DAB*431,,,,,,4,9,9,13,,,,,,4,3
G100721M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
G100722M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,Pore-DAB*431,,,,,,,4,9,13,,,,,,,3,3
G100723M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,Pore-DAB*249,,,,,,,4,9,9,,,,,,,3,2
G100724-M16,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*518,Pore-DAB*431,,,,,,,4,9,13,,,,,,,3,3
G100725M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,Pore-DAB*431,,,,,,,4,9,13,,,,,,,3,3
G100726M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
G100727M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
G100728M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
G100729M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*249,Pore-DAB*256,,,,,,,4,9,9,,,,,,,3,2
G100730M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
G100731M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,Pore-DAB*431,Pore-DAB*249,,,,,,4,9,13,9,,,,,,4,3
G100732M16,Marianne 16,North slope,Pore-DAB*250,Pore-DAB*240,Pore-DAB*251,Pore-DAB*256,Pore-DAB*249,Pore-DAB*431,,,,3,4,15,9,9,13,,,,6,5
G100732-M16,Marianne 16,North Slope,Pore-DAB*251,Pore-DAB*240,Pore-DAB*250,Pore-DAB*518,Pore-DAB*249,Pore-DAB*431,,,,15,4,3,9,9,13,,,,6,5
G100733M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,Pore-DAB*431,,,,,,,4,9,13,,,,,,,3,3
G100734M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*249,Pore-DAB*256,,,,,,4,13,9,9,,,,,,4,3
G100735M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*249,Pore-DAB*256,,,,,,4,13,9,9,,,,,,4,3
G100736M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*249,Pore-DAB*256,,,,,,4,13,9,9,,,,,,4,3
G100737M16,Marianne 16,North slope,Pore-DAB*256,Pore-DAB*251,Pore-DAB*250,Pore-DAB*240,,,,,,9,15,3,4,,,,,,4,4
G100738M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
G100739M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
G100740M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
G100741M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
G100742M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
G100743M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
G100744M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
G100745M16,Marianne 16,North slope,Pore-DAB*240,Pore-DAB*256,,,,,,,,4,9,,,,,,,,2,2
Marianne #16-p1_10A,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*518,Pore-DAB*249,,,,,,4,13,9,9,,,,,,4,3
Marianne #16-p1_10B,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*249,Pore-DAB*256,,,,,,4,13,9,9,,,,,,4,3
Marianne #16-p1_10C,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*518,,,,,,,4,13,9,,,,,,,3,3
Marianne #16-p1_10D,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*518,Pore-DAB*431,,,,,,,4,9,13,,,,,,,3,3
Marianne #16-p1_10E,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*518,Pore-DAB*431,,,,,,,4,9,13,,,,,,,3,3
Marianne #16-p1_10F,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*518,Pore-DAB*256,Pore-DAB*431,,,,,,4,9,9,13,,,,,,4,3
Marianne #16-p1_10G,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*256,Pore-DAB*431,,,,,,,4,9,13,,,,,,,3,3
Marianne #16-p1_11A,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*518,Pore-DAB*249,Pore-DAB*431,,,,,,4,9,9,13,,,,,,4,3
Marianne #16-p1_11B,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*518,Pore-DAB*249,,,,,,4,13,9,9,,,,,,4,3
Marianne #16-p1_11C,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*256,Pore-DAB*518,,,,,,4,13,9,9,,,,,,4,3
Marianne #16-p1_11D,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*518,Pore-DAB*256,,,,,,4,13,9,9,,,,,,4,3
Marianne #16-p1_11E,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*256,Pore-DAB*518,,,,,,4,13,9,9,,,,,,4,3
Marianne #16-p1_11F,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*249,,,,,,,4,13,9,,,,,,,3,3
Marianne #16-p1_11G,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*249,Pore-DAB*256,,,,,,4,13,9,9,,,,,,4,3
Marianne #16-p1_11H,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*518,,,,,,,4,13,9,,,,,,,3,3
Marianne #16-p1_12A,Marianne 16,North Slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*240,Pore-DAB*518,Pore-DAB*256,Pore-DAB*431,,,,15,3,4,9,9,13,,,,6,5
Marianne #16-p1_12B,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*708,Pore-DAB*431,Pore-DAB*256,Pore-DAB*518,,,,,4,4,13,9,9,,,,,5,3
Marianne #16-p1_12C,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*256,Pore-DAB*249,,,,,,4,13,9,9,,,,,,4,3
Marianne #16-p1_8D,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*256,Pore-DAB*518,Pore-DAB*431,,,,,,4,9,9,13,,,,,,4,3
Marianne #16-p1_8E,Marianne 16,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*240,Pore-DAB*256,Pore-DAB*249,Pore-DAB*431,,,,3,15,4,9,9,13,,,,6,5
Marianne #16-p1_8F,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*518,Pore-DAB*256,Pore-DAB*431,,,,,,4,9,9,13,,,,,,4,3
Marianne #16-p1_8G,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*518,Pore-DAB*431,,,,,,,4,9,13,,,,,,,3,3
Marianne #16-p1_8H,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*256,Pore-DAB*431,,,,,,,4,9,13,,,,,,,3,3
Marianne #16-p1_9A,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*256,Pore-DAB*518,Pore-DAB*431,,,,,,4,9,9,13,,,,,,4,3
Marianne #16-p1_9B,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*708,Pore-DAB*431,Pore-DAB*249,Pore-DAB*518,,,,,4,4,13,9,9,,,,,5,3
Marianne #16-p1_9C,Marianne 16,North Slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*518,Pore-DAB*240,,,,,,15,3,9,4,,,,,,4,4
Marianne #16-p1_9D,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*256,Pore-DAB*518,,,,,,4,13,9,9,,,,,,4,3
Marianne #16-p1_9F,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*518,,,,,,,4,13,9,,,,,,,3,3
Marianne #16-p1_9H,Marianne 16,North Slope,Pore-DAB*240,Pore-DAB*431,Pore-DAB*256,Pore-DAB*518,,,,,,4,13,9,9,,,,,,4,3
G100911M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100911-M3,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100912M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100912-M3,Marianne 3,North Slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100913M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100914M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100914-M3,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100915M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100915-M3,Marianne 3,North Slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100916M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100916-M3,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100917M3,Marianne 3,North slope,Pore-DAB*249,Pore-DAB*250,Pore-DAB*277,Pore-DAB*251,,,,,,9,3,13,15,,,,,,4,4
G100917-M3,Marianne 3,North Slope,Pore-DAB*249,Pore-DAB*251,Pore-DAB*250,Pore-DAB*277,,,,,,9,15,3,13,,,,,,4,4
G100918M3,Marianne 3,North slope,Pore-DAB*249,Pore-DAB*250,Pore-DAB*277,Pore-DAB*251,,,,,,9,3,13,15,,,,,,4,4
G100918-M3,Marianne 3,North Slope,Pore-DAB*249,Pore-DAB*250,Pore-DAB*251,Pore-DAB*277,,,,,,9,3,15,13,,,,,,4,4
G100919-M3,Marianne 3,North Slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100920M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100921M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100922M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100923M3,Marianne 3,North slope,Pore-DAB*249,Pore-DAB*250,Pore-DAB*277,Pore-DAB*251,,,,,,9,3,13,15,,,,,,4,4
G100923-M3,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*249,Pore-DAB*251,Pore-DAB*277,,,,,,3,9,15,13,,,,,,4,4
G100924M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100925M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100926M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100927M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100928M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100929-M3,Marianne 3,North Slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100930M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100931M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100932M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100933M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100934M3,Marianne 3,North slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100935M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100936M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100937M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100938M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100939M3,Marianne 3,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100941-M3,Marianne 3,North Slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
Marianne #3-p1_1A,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
Marianne #3-p1_1B,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
Marianne #3-p1_1C,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
Marianne #3-p1_1D,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
Marianne #3-p1_1E,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*277,Pore-DAB*249,,,,,,3,15,13,9,,,,,,4,4
Marianne #3-p1_1F,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,,,,,,,,3,15,,,,,,,,2,2
Marianne #3-p1_1G,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
Marianne #3-p1_1H,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
Marianne #3-p1_2A,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*277,Pore-DAB*249,,,,,,3,15,13,9,,,,,,4,4
Marianne #3-p1_2B,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
Marianne #3-p1_2C,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,,,,,,,,3,15,,,,,,,,2,2
Marianne #3-p1_2D,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
Marianne #3-p1_2E,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
Marianne #3-p1_2G,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
Marianne #3-p1_3A,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
Marianne #3-p1_3B,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
Marianne #3-p1_3C,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,,,,,,,,3,15,,,,,,,,2,2
Marianne #3-p1_3D,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,,,,,,,,3,15,,,,,,,,2,2
Marianne #3-p1_3E,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,Pore-DAB*277,,,,,,3,15,9,13,,,,,,4,4
Marianne #3-p1_3F,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,,,,,,,,3,15,,,,,,,,2,2
Marianne #3-p1_3H,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,Pore-DAB*277,,,,,,3,15,9,13,,,,,,4,4
Marianne #3-p1_4A,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
Marianne #3-p1_4B,Marianne 3,North Slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100858M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100859-M4,Marianne 4,North Slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100860M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100861M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100862M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100863M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100864M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100865M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100866M4,Marianne 4,North slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100867M4,Marianne 4,North slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100868M4,Marianne 4,North slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100869M4,Marianne 4,North slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100870M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100871M4,Marianne 4,North slope,Pore-DAB*251,Pore-DAB*249,Pore-DAB*250,,,,,,,15,9,3,,,,,,,3,3
G100873M4,Marianne 4,North slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100874M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100875M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,,,,,,,,3,15,,,,,,,,2,2
G100876M4,Marianne 4,North slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100877M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100878M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100879M4,Marianne 4,North slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100880M4,Marianne 4,North slope,Pore-DAB*251,Pore-DAB*249,,,,,,,,15,9,,,,,,,,2,2
G100881M4,Marianne 4,North slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100882M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,Pore-DAB*216,,,,,,3,15,9,11,,,,,,4,4
G100883M4,Marianne 4,North slope,Pore-DAB*251,Pore-DAB*249,,,,,,,,15,9,,,,,,,,2,2
G100884M4,Marianne 4,North slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G100885M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100886M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100887M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100888M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100889M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100940M4,Marianne 4,North slope,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,,3,15,9,,,,,,,3,3
G100942M4,Marianne 4,North slope,Pore-DAB*251,Pore-DAB*250,Pore-DAB*249,,,,,,,15,3,9,,,,,,,3,3
G101159M10,Marianne 10,North slope,Pore-DAB*247,Pore-DAB*229,,,,,,,,15,15,,,,,,,,2,1
G101159-M10,Marianne 10,North Slope,Pore-DAB*247,Pore-DAB*229,,,,,,,,15,15,,,,,,,,2,1
G101160M10,Marianne 10,North slope,Pore-DAB*244,Pore-DAB*251,,,,,,,,15,15,,,,,,,,2,1
