Sample,Site,Drainage,G1,G2,G3,G4,G5,G6,G7,G8,G9,S1,S2,S3,S4,S5,S6,S7,S8,S9,Ai,STi
G109141,Point Fortin 2,SW,Pore-DAB*824,Pore-DAB*355,Pore-DAB*840,Pore-DAB*837,Pore-DAB*818,,,,,15,11,7,10,9,,,,,5,5
G109142,Point Fortin 2,SW,Pore-DAB*567,Pore-DAB*256,Pore-DAB*104,,,,,,,6,9,9,,,,,,,3,2
G109143,Point Fortin 2,SW,Pore-DAB*355,Pore-DAB*824,Pore-DAB*837,Pore-DAB*256,Pore-DAB*840,,,,,11,15,10,9,7,,,,,5,5
G109145,Point Fortin 2,SW,Pore-DAB*824,Pore-DAB*840,Pore-DAB*837,Pore-DAB*256,,,,,,15,7,10,9,,,,,,4,4
G109147,Point Fortin 2,SW,Pore-DAB*355,Pore-DAB*856,,,,,,,,11,10,,,,,,,,2,2
G109148,Point Fortin 2,SW,Pore-DAB*854,Pore-DAB*831,Pore-DAB*271,Pore-DAB*819,,,,,,10,12,9,9,,,,,,4,3
G109149,Point Fortin 2,SW,Pore-DAB*824,Pore-DAB*855,Pore-DAB*837,Pore-DAB*256,Pore-DAB*103,,,,,15,10,10,9,9,,,,,5,3
G101638 - SR,Snake River,SW,Pore-DAB*545,Pore-DAB*612,Pore-DAB*596,Pore-DAB*591,Pore-DAB*271,Pore-DAB*256,,,,4,14,13,11,9,9,,,,6,5
G101639 - SR,Snake River,SW,Pore-DAB*581,Pore-DAB*605,Pore-DAB*271,,,,,,,13,1,9,,,,,,,3,3
G101640 - SR,Snake River,SW,Pore-DAB*271,Pore-DAB*609,Pore-DAB*573,Pore-DAB*581,,,,,,9,6,6,13,,,,,,4,3
G101641 - SR,Snake River,SW,Pore-DAB*271,Pore-DAB*591,Pore-DAB*596,Pore-DAB*600,,,,,,9,11,13,14,,,,,,4,4
G101642 - SR,Snake River,SW,Pore-DAB*421,Pore-DAB*605,Pore-DAB*271,,,,,,,6,1,9,,,,,,,3,3
G101643 - SR,Snake River,SW,Pore-DAB*611,Pore-DAB*421,Pore-DAB*614,Pore-DAB*271,,,,,,14,6,11,9,,,,,,4,4
G101646 - SR,Snake River,SW,Pore-DAB*573,Pore-DAB*581,Pore-DAB*609,Pore-DAB*271,Pore-DAB*642,,,,,6,13,6,9,9,,,,,5,3
G101654 - SR,Snake River,SW,Pore-DAB*586,Pore-DAB*271,Pore-DAB*421,,,,,,,4,9,6,,,,,,,3,3
G101655 - SR,Snake River,SW,Pore-DAB*597,Pore-DAB*580,Pore-DAB*271,,,,,,,8,6,9,,,,,,,3,3
G101657 - SR,Snake River,SW,Pore-DAB*561,Pore-DAB*600,Pore-DAB*256,Pore-DAB*640,,,,,,5,14,9,9,,,,,,4,3
G101661 - SR,Snake River,SW,Pore-DAB*562,Pore-DAB*271,Pore-DAB*642,,,,,,,8,9,9,,,,,,,3,2
G101662 - SR,Snake River,SW,Pore-DAB*545,Pore-DAB*601,Pore-DAB*638,Pore-DAB*271,Pore-DAB*599,,,,,4,14,9,9,6,,,,,5,4
Tobago1,Windward Rd.,Tobago,Pore-DAB*274,Pore-DAB*272,Pore-DAB*276,Pore-DAB*206,,,,,,6,12,9,9,,,,,,4,3
Tobago2,Windward Rd.,Tobago,Pore-DAB*274,Pore-DAB*276,,,,,,,,6,9,,,,,,,,2,2
Tobago4,Windward Rd.,Tobago,Pore-DAB*273,Pore-DAB*274,Pore-DAB*275,Pore-DAB*104,Pore-DAB*206,,,,,15,6,1,9,9,,,,,5,4
Tobago5,Windward Rd.,Tobago,Pore-DAB*274,Pore-DAB*206,Pore-DAB*104,,,,,,,6,9,9,,,,,,,3,2
BG1204,Barbados,Barbados,Pore-DAB*445,Pore-DAB*602,Pore-DAB*319,,,,,,,11,8,9,,,,,,,3,3
BG1206,Barbados,Barbados,Pore-DAB*828,Pore-DAB*355,,,,,,,,6,11,,,,,,,,2,2
BG1209,Barbados,Barbados,Pore-DAB*602,Pore-DAB*319,Pore-DAB*839,Pore-DAB*829,,,,,,8,9,7,13,,,,,,4,4
BG1212,Barbados,Barbados,Pore-DAB*602,Pore-DAB*319,Pore-DAB*821,,,,,,,8,9,9,,,,,,,3,2
BG1217,Barbados,Barbados,Pore-DAB*445,Pore-DAB*602,Pore-DAB*319,Pore-DAB*839,,,,,,11,8,9,7,,,,,,4,4
P. picta-p3_11A,P. picta,Mid East,Pore-DAB*800,Pore-DAB*721,Pore-DAB*760,Pore-DAB*786,,,,,,9,13,15,2,,,,,,4,4
P. picta-p3_11B,P. picta,Mid East,Pore-DAB*799,Pore-DAB*800,,,,,,,,9,9,,,,,,,,2,1
P. picta-p3_11C,P. picta,Mid East,Pore-DAB*786,Pore-DAB*703,Pore-DAB*798,Pore-DAB*721,Pore-DAB*800,,,,,2,8,9,13,9,,,,,5,4
P. picta-p3_11F,P. picta,Mid East,Pore-DAB*799,Pore-DAB*724,Pore-DAB*763,,,,,,,9,1,2,,,,,,,3,3
P. picta-p3_11H,P. picta,Mid East,Pore-DAB*725,Pore-DAB*800,Pore-DAB*721,,,,,,,1,9,13,,,,,,,3,3
