"Generation","Allele","Count","Percentage"
"17","Allele_9",1,4.545454545454546
"17","Allele_10",2,9.090909090909092
"17","Allele_11",0,0.0
"17","Allele_12",6,27.27272727272727
"17","Allele_13",3,13.636363636363635
"17","Allele_14",1,4.545454545454546
"17","Allele_15",1,4.545454545454546
"18","Allele_1",0,0.0
"18","Allele_2",0,0.0
"18","Allele_3",0,0.0
"18","Allele_4",0,0.0
"18","Allele_5",4,20.0
"18","Allele_6",5,25.0
"18","Allele_7",0,0.0
"18","Allele_8",0,0.0
"18","Allele_9",1,5.0
"18","Allele_10",4,20.0
"18","Allele_11",0,0.0
"18","Allele_12",2,10.0
"18","Allele_13",4,20.0
"18","Allele_14",0,0.0
"18","Allele_15",0,0.0
"19","Allele_1",0,0.0
"19","Allele_2",0,0.0
"19","Allele_3",0,0.0
"19","Allele_4",0,0.0
"19","Allele_5",4,19.047619047619047
"19","Allele_6",3,14.285714285714285
"19","Allele_7",0,0.0
"19","Allele_8",0,0.0
"19","Allele_9",1,4.761904761904762
"19","Allele_10",4,19.047619047619047
"19","Allele_11",0,0.0
"19","Allele_12",3,14.285714285714285
"19","Allele_13",4,19.047619047619047
"19","Allele_14",1,4.761904761904762
"19","Allele_15",1,4.761904761904762
"20","Allele_1",0,0.0
"20","Allele_2",0,0.0
"20","Allele_3",0,0.0
"20","Allele_4",0,0.0
"20","Allele_5",3,13.636363636363635
"20","Allele_6",6,27.27272727272727
"20","Allele_7",0,0.0
"20","Allele_8",0,0.0
"20","Allele_9",1,4.545454545454546
"20","Allele_10",2,9.090909090909092
"20","Allele_11",0,0.0
"20","Allele_12",5,22.72727272727273
"20","Allele_13",3,13.636363636363635
"20","Allele_14",2,9.090909090909092
"20","Allele_15",0,0.0
"21","Allele_1",0,0.0
"21","Allele_2",0,0.0
"21","Allele_3",0,0.0
"21","Allele_4",0,0.0
"21","Allele_5",3,15.789473684210526
"21","Allele_6",2,10.526315789473683
"21","Allele_7",0,0.0
"21","Allele_8",0,0.0
"21","Allele_9",2,10.526315789473683
"21","Allele_10",1,5.263157894736842
"21","Allele_11",0,0.0
"21","Allele_12",7,36.84210526315789
