"","Diego Martin","Curaguate","Las Cuevas","Yarra 1","Yarra 2","Damier 1","Damier 2","Marianne 16","Marianne 3","Marianne 4","Marianne 10","Marianne 11","Paria 12","Paria 3","Paria 13","Paria 7","Paria 8","Shark river","San Souci","Mission River","Tompire","Cumana","Arima 1","Arima 2","El cedro 1","El cedro 2","Guanapo 1","Guanapo 2","Aripo 1","Aripo 2","Quare 1","Quare 2","Turure 2","Turure 3","La Seiva","Matura","Faecal Dump Road","Poole River","Guayguayare Rd, pond","Basse Terre","Oropuche South","5th Company","Mondesir","Silver Stream","Morne River","Pitch Lake","Pitch lake","Vance River","Stollmeyer","Point Fortin 1","Point Fortin 2","Snake River","Windward Rd.","Barbados","P. picta"
"Paria 12",0.373162834466278,0.389181277158078,0.401770196131794,0.0839651214010848,0.0171691572873257,0.0327939635170285,0.019619557228179,0.418134758072458,0.0186063486469801,0.0155692662966658,0.677378226316464,0.742780658760847,0,0.0272232272537196,0.0211800327113212,0.0214715457473187,0.0401324189047193,0.454996464964541,0.187677624432303,0.858756574976287,0.874938156231103,0.977056124249912,0.314913428055729,0.585631810929937,0.590847448736364,0.453266560132655,0.354632258653014,0.426511478258131,0.761926643170564,0.388919936858235,0.556990528469556,0.385493524402553,0.388477990563317,0.444156969613413,0.602005634959928,0.445732663949805,0.463878232344326,0.228074477588412,0.392488585455222,0.971411732624931,0.369950587895838,0.445995018156718,0.470378982094239,0.5834154999014,0.481856199286895,0.243040878247494,0.173851078245836,0.516822611664542,0.470128578016464,0.336952989321118,0.389294457554972,0.473505365267991,0.351472333081653,0.529830224772836,0.363657666571198
"Paria 3",0.458379142858617,0.380268386089921,0.397927244905057,0.0151316205985819,0.00717880326353448,0.0515128704806532,0.00117565683718446,0.420339731575432,0.0579131986392306,0.0567078726429516,0.815034678220148,0.858348270887072,0.0272232272537196,0,0.0603582217435144,0.0818102365567572,0.102010669962984,0.456236491059537,0.269841749588197,0.860226203969421,0.861775940842826,0.951436665317685,0.356571752416254,0.590216614199363,0.595706144198142,0.469393513438798,0.437671554512861,0.447312036903876,0.771166936851785,0.420230454668244,0.550523497858515,0.390868165732548,0.406326632208421,0.468563857089993,0.626924858647232,0.441534238272908,0.496070428711168,0.283990190588371,0.395729151907756,0.970793255189065,0.369354082029885,0.505044861471719,0.476277815835414,0.643127500811074,0.502838754415238,0.2152278893572,0.160497120878632,0.526828214275973,0.489814379274161,0.460119420588994,0.465960148466497,0.477411440513504,0.384635375576614,0.536205073995771,0.389665934574037
"Paria 13",0.284675412918899,0.354970484916525,0.36974868464498,0.161338675324119,0.050765280254229,0.0324307739074515,0.0598725387955447,0.388677554427624,0.00161036045920504,0.0138737693564508,0.614059284906748,0.688089480941263,0.0211800327113212,0.0603582217435144,0,0.00311523923445689,0.00995935554486505,0.439272533014074,0.111446590366371,0.808577667893785,0.854728922895105,0.96132125732552,0.233456018698755,0.527215156900314,0.515843036194103,0.382090585900082,0.28804245034682,0.36402564109717,0.684917651964757,0.319284878514796,0.497557728074777,0.337460399609853,0.327215476175433,0.3601833327943,0.538748509871632,0.40580554808505,0.376091145675187,0.134515913043973,0.34588948714352,0.968434454422494,0.343657391445827,0.3807235661238,0.419279887422894,0.502705396554179,0.415054139383163,0.238783355347369,0.150033529017305,0.462961725172969,0.414795480473923,0.232856202622227,0.290792318604106,0.417808640382328,0.30757681756369,0.441142746714764,0.297045983823443
"Paria 7",0.312180688746493,0.400518356504963,0.433189523151106,0.194332480970404,0.0729614352088249,0.0591729510846667,0.0890968972993729,0.424937913153024,0.018136378990107,0.0231102589964711,0.614650073459592,0.68718252883981,0.0214715457473187,0.0818102365567572,0.00311523923445689,0,0.00469534855022746,0.513027036251226,0.135997966248699,0.759855894793276,0.834738359496612,0.922710214017649,0.277511477929118,0.477714702299539,0.576183271733643,0.429022942445388,0.315046869767499,0.370433486325363,0.68626193550697,0.355995823525229,0.506327161042302,0.316875893444876,0.359531631590547,0.387035986252623,0.504797490894241,0.429874143050856,0.402225894069297,0.145957239668991,0.376962336191472,0.866204227061003,0.332704406962498,0.370748963768296,0.412327809137471,0.435449702374751,0.399982994644888,0.195156320504299,0.168340663522207,0.446741949050574,0.392229511498717,0.194747468720889,0.27195654857425,0.396054576584208,0.308026749642551,0.459800691368694,0.328518358531318
"Paria 8",0.298657809863163,0.412561854018583,0.457769072023614,0.220573256993734,0.0981606471046067,0.0913310008377273,0.127094332265752,0.426144141665967,0.0222410188469893,0.0358392214986389,0.623252234530509,0.698311057630324,0.0401324189047193,0.102010669962984,0.00995935554486505,0.00469534855022746,0,0.552762332922856,0.180188689257022,0.84161376340247,0.799753112924002,0.852512155591572,0.232027922863711,0.564793420294573,0.462257424340215,0.391788788759969,0.369217171142446,0.404156711395473,0.585159424570483,0.355821279870177,0.430058320100722,0.335641595341291,0.410141187675358,0.370983657117492,0.526437246030379,0.420490528743754,0.34938781235597,0.141734346345297,0.357998559761804,0.966131950307562,0.405408520271661,0.380988504405672,0.486315193145204,0.466575482988545,0.46126589245959,0.277883791506081,0.167124076556918,0.526099250272243,0.50140695049442,0.306502502656836,0.345592821358872,0.435674224719049,0.419318816303741,0.359739973556633,0.316510859633092
"Shark river",0.1824867863066,0.248686264926842,0.208369430785501,0.389738295960227,0.345767738657045,0.29392225378251,0.353991640912047,0.375030453770268,0.536739907180792,0.502196294945917,0.988242005635874,0.99045978534517,0.454996464964541,0.456236491059537,0.439272533014074,0.513027036251226,0.552762332922856,0,0.278357993117882,0.820882791953941,0.861322978782416,1,0.325546389945924,0.499160402928764,0.484766329984796,0.347551889097232,0.399714944553239,0.360116539652802,0.7273140733818,0.318738410081191,0.480606334403588,0.411265267183269,0.209797832659613,0.330898251153396,0.465004217192318,0.242063037309811,0.415740499000026,0.249855403289865,0.345517007534765,0.901312054500725,0.18922002111659,0.331887980911086,0.35025343755972,0.640005091865745,0.398143207768648,0.330192526755453,0.280227932676115,0.420579222580805,0.383054793381558,0.487463696677413,0.433601330745772,0.248376672532276,0.251128313137668,0.441013628620102,0.30291280499338
"San Souci",0.153960758847545,0.246238156381916,0.239959051533749,0.310127939954846,0.180897425623363,0.0912829952893452,0.173368984571419,0.323110543353273,0.212001622830167,0.182203528502783,0.66539572100935,0.716436153599975,0.187677624432303,0.269841749588197,0.111446590366371,0.135997966248699,0.180188689257022,0.278357993117882,0,0.59048794821935,0.843179699637493,1,0.116170717640095,0.270827244509751,0.353712866583875,0.207241953072475,0.206487332110189,0.19009133497869,0.524166869220226,0.174253919413532,0.38399233973605,0.23188862055851,0.0838181724666682,0.104436352310233,0.313423372040991,0.297347480847609,0.19255987591258,0.0639409768470794,0.223981077634407,0.94940049958368,0.221229868228404,0.258880136549573,0.209840703154436,0.39566781447781,0.187186741362242,0.19038433125694,0.101719834085122,0.260634033661565,0.192080046740618,0.0327046857917183,0.0254618688834519,0.251990949606643,0.176650547715385,0.270950197089145,0.172438214320602
"Mission River",0.790416501388338,0.672572063380694,0.709988753171344,0.837396333989684,0.830796688548367,0.783731567027796,0.787956481756427,0.832128016866259,0.879956177388777,0.869660444769807,0.886417115869228,0.896828429499427,0.858756574976287,0.860226203969421,0.808577667893785,0.759855894793276,0.84161376340247,0.820882791953941,0.59048794821935,0,0.862269994534524,1,0.651617618829644,0.504124926340601,0.72713849788365,0.733467026406581,0.83508046469702,0.703522122532765,0.693452541731943,0.750085476237606,0.804459591607525,0.734714031301492,0.578676073744397,0.537257362336361,0.574758366355072,0.824857056876317,0.684391913497637,0.572623803422025,0.641963482816593,0.99049451171212,0.751584969846915,0.607119657009224,0.641772044470848,0.838874680306905,0.580273622361806,0.721407864782089,0.678670834582281,0.578861750150114,0.579967312631333,0.478018920422927,0.437127729980146,0.758178748410297,0.797927461139896,0.725102669404517,0.78950885399265
"Tompire",0.816849440842187,0.64026027966219,0.70584842259253,0.871391981257188,0.850585893368257,0.813251238389112,0.84411309271766,0.270272558865732,0.854485355079569,0.898982211962603,0.450236559139785,0.381564844587353,0.874938156231103,0.861775940842826,0.854728922895105,0.834738359496612,0.799753112924002,0.861322978782416,0.843179699637493,0.862269994534524,0,0.58,0.625535269179147,0.80692002872264,0.830473290893994,0.624151312480442,0.676171465732143,0.552982746264113,0.880750183099083,0.595015738404308,0.585693204975055,0.674733566580139,0.643906581740977,0.759556633000191,0.461257456833594,0.49516924623935,0.741228820811227,0.778022462012772,0.638196949470276,0.666210969541204,0.780404459133942,0.728076923076923,0.795121951219512,0.911938608630016,0.743509920741416,0.766803905422891,0.649776790306322,0.7358901269759,0.772708823768163,0.868358023596203,0.818791946308725,0.609812626666173,0.790322580645161,0.791044776119403,0.640276216476634
"Cumana",0.912710115010322,0.699530516431925,0.784849843119677,0.986741775855093,1,0.966339208321294,0.991016829915039,0.694944895400251,0.918065109757701,1,1,1,0.977056124249912,0.951436665317685,0.96132125732552,0.922710214017649,0.852512155591572,1,1,1,0.58,0,0.883995703544576,0.912117177097204,1,1,1,0.980628184312188,0.982560230133046,0.937904269081501,0.679642753130764,0.821207430340557,0.986198547215496,0.932103655086568,0.973590855340954,0.541258969341161,0.938566552901024,1,1,0.968,0.967123287671233,1,0.924050632911392,1,0.949047676816693,0.91187270501836,0.849529780564263,0.983636220596334,1,1,1,0.820452771272443,1,0.892857142857143,0.707317073170732
"Arima 1",0.187625964563887,0.15136476426799,0.175308764200678,0.342011365046389,0.250954447755853,0.160935184959465,0.256183756950906,0.194960155985079,0.35721780115952,0.339664174468722,0.762700254136274,0.777602321710555,0.314913428055729,0.356571752416254,0.233456018698755,0.277511477929118,0.232027922863711,0.325546389945924,0.116170717640095,0.651617618829644,0.625535269179147,0.883995703544576,0,0.311680095230747,0.153433603230674,0.0321510427785848,0.236330558906045,0.0916250233861257,0.363563994704118,0.0343701822798582,0.183901276052544,0.138188097743261,0.0818088347053075,0.0798748357282478,0.339858308009862,0.208865456859328,0.0680401920152658,0.072671297973228,0.104331947369796,0.875398749521501,0.198438877820961,0.316179021625997,0.20895102929811,0.339182167331877,0.186605525498147,0.158673386441229,0.0282082410911948,0.220188728270744,0.217709064246801,0.292310157934611,0.193965517241379,0.126116659527852,0.168679835157027,0.0225087412587411,0.0661956117515806
"Arima 2",0.459756071798266,0.38249588011628,0.393576899677311,0.54582479869306,0.504597582512214,0.412571731590303,0.474074009860757,0.467066054719605,0.636620755274915,0.624091948389227,0.926954131981936,0.924871940808196,0.585631810929937,0.590216614199363,0.527215156900314,0.477714702299539,0.564793420294573,0.499160402928764,0.270827244509751,0.504124926340601,0.80692002872264,0.912117177097204,0.311680095230747,0,0.448161477825574,0.3153662596893,0.459145585758891,0.283828105269848,0.516699896629954,0.219706072150836,0.214602938767601,0.0684730663944695,0.208645420912572,0.171352205260281,0.342533770277018,0.412198032331388,0.284657952061981,0.102625187388874,0.363825713351702,0.546200377425185,0.245745103074732,0.405837084361841,0.240285388270994,0.403029403029403,0.160951324318693,0.241718627979565,0.282979171049863,0.143290303909561,0.0430119797852571,0.23136412850631,0.158348191997718,0.282001951425797,0.285329458051253,0.316583307283527,0.149730223292106
"El cedro 1",0.372706692280774,0.430220915081968,0.416068205025771,0.516496351073487,0.489006553866416,0.434761592267399,0.496028701112611,0.513299484304217,0.651831784826004,0.617972655259475,0.997176972050833,0.997082529408104,0.590847448736364,0.595706144198142,0.515843036194103,0.576183271733643,0.462257424340215,0.484766329984796,0.353712866583875,0.72713849788365,0.830473290893994,1,0.153433603230674,0.448161477825574,0,0.0849414351107874,0.448621191953999,0.229656906400493,0.172051275467581,0.237276797601682,0.295046191336233,0.366285192331772,0.256133022028768,0.145095155704574,0.439645769848142,0.460464807740964,0.0765037317642715,0.10489846772607,0.204038431275742,0.919856723448451,0.4381426165264,0.562441990415396,0.384982951837413,0.404152313564845,0.349457843401333,0.356946545444685,0.23565856534718,0.386019100487181,0.425646042777141,0.540879459885105,0.368344478521321,0.3406616032392,0.394162132670536,0.0856558798298926,0.359175118648968
"El cedro 2",0.277773194708785,0.240358181810527,0.234435737169324,0.402230485824164,0.337699682655919,0.259117734298205,0.345408873366087,0.240076574659804,0.525707655586796,0.49077042279752,0.81520664596542,0.798574784292022,0.453266560132655,0.469393513438798,0.382090585900082,0.429022942445388,0.391788788759969,0.347551889097232,0.207241953072475,0.733467026406581,0.624151312480442,1,0.0321510427785848,0.3153662596893,0.0849414351107874,0,0.25088753419797,0.0417270047080965,0.269052368379966,0.0394290997269456,0.216165338483093,0.180129492354542,0.0772556824419732,0.0797185947546758,0.30132910847593,0.302492648876204,0.0341794900661508,0.109288460581375,0.0791233378090364,0.755990371174768,0.208941025732836,0.386257732239693,0.188693496694933,0.24239901428619,0.165970988639727,0.169541986237899,0.086490730449285,0.193394576306924,0.205015104187353,0.383143381959067,0.225112413103075,0.121812464570763,0.152416479598574,0.112023808033124,0.15656369218547
"Guanapo 1",0.31553776073093,0.331627467191136,0.320465980993964,0.466276307693839,0.325049229987967,0.247322198087375,0.339197105073452,0.39474423366756,0.373018992581937,0.344512086096281,0.744078431200283,0.786015115370812,0.354632258653014,0.437671554512861,0.28804245034682,0.315046869767499,0.369217171142446,0.399714944553239,0.206487332110189,0.83508046469702,0.676171465732143,1,0.236330558906045,0.459145585758891,0.448621191953999,0.25088753419797,0,0.10543670864444,0.661374771321566,0.186506181048404,0.427756345536767,0.330398176517098,0.237894850161015,0.349522575660592,0.407987451780488,0.283084036688175,0.272318272382544,0.134328186218023,0.197038920903683,0.637745070982796,0.242079591068863,0.399179588042732,0.312783107129855,0.255748125778633,0.238984884239271,0.242101085526557,0.169730564281809,0.237683772540513,0.226878381406665,0.263478970128811,0.260563078198951,0.260780297681457,0.0692430613086719,0.403400228761568,0.21278816051608
"Guanapo 2",0.29386807767878,0.25044916338365,0.253054236792299,0.402204948659473,0.315735624081493,0.237692600525853,0.321073248050102,0.249931483255579,0.491934472355623,0.465183296055516,0.804627010286733,0.795313334550298,0.426511478258131,0.447312036903876,0.36402564109717,0.370433486325363,0.404156711395473,0.360116539652802,0.19009133497869,0.703522122532765,0.552982746264113,0.980628184312188,0.0916250233861257,0.283828105269848,0.229656906400493,0.0417270047080965,0.10543670864444,0,0.420635202880568,0.0504813957979666,0.268692943702593,0.182286227545214,0.0714243762775342,0.14840590431939,0.22797109614949,0.24338242689899,0.102520514171466,0.120651722041257,0.0683767350162967,0.626637251661017,0.154384254762598,0.363031472068461,0.179571422670967,0.219275819257032,0.120351168105996,0.106563186131041,0.0583144596389631,0.127692571441064,0.127024628778387,0.296210961584468,0.183958768010077,0.0999598201663084,0.0624736628267889,0.12377785089781,0.152640407771147
"Aripo 1",0.520571455856889,0.524516307276522,0.538781629753079,0.712927209316417,0.650121744481479,0.623805474966581,0.701634112067933,0.705647486507986,0.788957953018087,0.77071909690231,0.943662977108317,0.943772379517483,0.761926643170564,0.771166936851785,0.684917651964757,0.68626193550697,0.585159424570483,0.7273140733818,0.524166869220226,0.693452541731943,0.880750183099083,0.982560230133046,0.363563994704118,0.516699896629954,0.172051275467581,0.269052368379966,0.661374771321566,0.420635202880568,0,0.402573596803168,0.456240179283151,0.518263865802927,0.461816935509135,0.312160735789641,0.483070201035873,0.688313808155804,0.25396543658005,0.276924452878319,0.421530027791174,0.767501036572552,0.597453448519711,0.600617953013049,0.307938133262867,0.282593510744662,0.329770475428109,0.533101949308275,0.482112292653966,0.409732149475237,0.470539860228788,0.601299505505847,0.347067260583282,0.50249160470301,0.615986630354048,0.107777959718356,0.556312420817086
"Aripo 2",0.214415254884772,0.156089719053816,0.166349168153897,0.381856481067992,0.291359365736476,0.199393569738807,0.301583525728298,0.190977376188715,0.447689335794611,0.425069430437683,0.792890220524286,0.789440961608207,0.388919936858235,0.420230454668244,0.319284878514796,0.355995823525229,0.355821279870177,0.318738410081191,0.174253919413532,0.750085476237606,0.595015738404308,0.937904269081501,0.0343701822798582,0.219706072150836,0.237276797601682,0.0394290997269456,0.186506181048404,0.0504813957979666,0.402573596803168,0,0.179177738305327,0.0746121730469673,0.0667737233105449,0.151154039917155,0.319018432018949,0.218636340110384,0.151988895788436,0.109451350192884,0.150638064736104,0.669509428057272,0.127948420167394,0.309812883873732,0.165564051894492,0.353340146799219,0.142475187360745,0.158731736407911,0.0769230769230769,0.132723589019589,0.0952413173131759,0.345810702519811,0.23429242513212,0.122833128718482,0.121055730663988,0.0686695278969958,0.107099021319759
"Quare 1",0.419004350722209,0.266120895316034,0.323026611692717,0.518258058142314,0.46915139717432,0.399691336323581,0.479276780985035,0.332714176670462,0.585729168680989,0.601201694514256,0.975238577388225,0.972881677353593,0.556990528469556,0.550523497858515,0.497557728074777,0.506327161042302,0.430058320100722,0.480606334403588,0.38399233973605,0.804459591607525,0.585693204975055,0.679642753130764,0.183901276052544,0.214602938767601,0.295046191336233,0.216165338483093,0.427756345536767,0.268692943702593,0.456240179283151,0.179177738305327,0,0.0332457182039066,0.310016791748055,0.18445891679986,0.417883938695738,0.207679861966293,0.150963158786133,0.136014403510856,0.210833868842375,0.597026384741941,0.245185127445631,0.385748331206162,0.328335871972756,0.317906957994034,0.230629847068204,0.276983121605473,0.162228686507049,0.223837297231534,0.222818395028566,0.520263756603555,0.374009629449049,0.181645420599812,0.330685118969965,0.154554588077696,0.0487158653336635
