"","Diego Martin","Curaguate","Las Cuevas","Yarra 1","Yarra 2","Damier 1","Damier 2","Marianne 16","Marianne 3","Marianne 4","Marianne 10","Marianne 11","Paria 12","Paria 3","Paria 13","Paria 7","Paria 8","Shark river","San Souci","Mission River","Tompire","Cumana","Arima 1","Arima 2","El cedro 1","El cedro 2","Guanapo 1","Guanapo 2","Aripo 1","Aripo 2","Quare 1","Quare 2","Turure 2","Turure 3","La Seiva","Matura","Faecal Dump Road","Poole River","Guayguayare Rd, pond","Basse Terre","Oropuche South","5th Company","Mondesir","Silver Stream","Morne River","Pitch Lake","Pitch lake","Vance River","Stollmeyer","Point Fortin 1","Point Fortin 2","Snake River","Windward Rd.","Barbados","P. picta"
"Paria 12",0.0856936437011421,0.0968890769189046,0.092994612994496,0.0522840135652951,0.0358375764105902,0.0419520521493303,0.0388349844198513,0.0760838061052008,0.0303156290566203,0.0336018982866532,0.0770617452115341,0.0786807693294939,0,0.0429612805139861,0.0337319892169313,0.0352787777785401,0.0476504741096513,0.086615862602239,0.0732213544821906,0.0602511024062114,0.0529100134091749,0.022814642724472,0.0742209341592138,0.0757648956393601,0.0783865862004193,0.0855012235514566,0.076393024208869,0.0819189031831654,0.0640226219661689,0.088442993320428,0.0748191919844064,0.0907168186844612,0.0870103016132759,0.0822626774844438,0.0841976165102879,0.0841014712999817,0.0827597490534573,0.126864414678151,0.0774570564773586,0.0283466390436976,0.0834945433297959,0.119673719220428,0.104208650936384,0.189820405405373,0.0798857731891961,0.099846260668612,0.0921914534590063,0.0801130835827582,0.0982386213549901,0.111283892162846,0.11546641658651,0.099277292670152,0.130918198538851,0.145130499445771,0.127473591949544
"Paria 3",0.0934314031980545,0.104684927476211,0.0966277550551831,0.029550154105773,0.0331003608341296,0.0528565589337329,0.0339771381586984,0.0826772448535079,0.0471322391730574,0.0555836869291776,0.0634350007776052,0.0563635286628403,0.0429612805139861,0,0.0592477691556682,0.057943519096146,0.0690541052766049,0.0907805607229083,0.0884080849264623,0.060074109785513,0.0574480955350224,0.0336455534877844,0.0911874672878808,0.0779988784360043,0.0821654150737971,0.0914224146251749,0.0878941423368263,0.0898680293408748,0.0617910443370938,0.0987395100905678,0.0806731309834929,0.091208663340168,0.0925702116318151,0.0860434394153747,0.0863794929149641,0.0925393836113374,0.0886871684343317,0.132774023050437,0.079611334436445,0.0270995871146302,0.0887654203195191,0.117260709567249,0.102431687376221,0.166269069246252,0.0868740691684444,0.10227629929697,0.103709172178561,0.0832013742883732,0.0995168554484603,0.116979115478528,0.116582999410486,0.102621170067099,0.125586423513558,0.147464023906854,0.130036949989241
"Paria 13",0.0713708089497448,0.0736749493411181,0.0687768051158802,0.0522373403023915,0.038543253303823,0.0342730563945191,0.0408569466536073,0.0605715392830534,0.0228013614131295,0.0245369598763788,0.0702704143439977,0.0763931533670454,0.0337319892169313,0.0592477691556682,0,0.0265399624483195,0.0378864257558685,0.0664778223474812,0.049110332592967,0.0655811067521722,0.057288312389291,0.0215699600664726,0.0611981213745156,0.0647814254328219,0.0696529457918443,0.0665581032295555,0.0581014831864888,0.0626856898431112,0.0675888199978003,0.0712063170436845,0.0685692862868153,0.0827892672634499,0.0664520645233685,0.0668109234161263,0.0894937338036904,0.0700237556718123,0.0702190051752532,0.119417810101406,0.0661673481356093,0.0283510718393243,0.066936191656695,0.121840010579275,0.0846583525347866,0.197995256922517,0.0620833926351727,0.081280162167513,0.0779051282826202,0.0627397470239287,0.0850139243500364,0.104421684086828,0.113971261371921,0.0897467520225418,0.12558657113679,0.133843986694772,0.123092728383091
"Paria 7",0.075597588442648,0.0770520640118686,0.0683134925305496,0.0534612454011277,0.0429394057355036,0.0417693036287497,0.0468837166115334,0.0624275285596331,0.0233166361929589,0.0267424846561417,0.068642223003368,0.0744252733193088,0.0352787777785401,0.057943519096146,0.0265399624483195,0,0.033665519063567,0.0687279580133681,0.0568361437517444,0.0631690901681529,0.0558313159537011,0.0306810202393456,0.065525097972425,0.0649557520283304,0.066757596681385,0.0690931711022089,0.06100072454437,0.0683986367274169,0.0663756292844064,0.0711821295370695,0.0668590351746483,0.0824188637316473,0.0693087085912405,0.0678399636277876,0.0884728993339184,0.0691060909528471,0.0746739097579358,0.118536889703239,0.0663116576147326,0.0454240344608677,0.0720000560763598,0.126450323683104,0.0777188466109967,0.186215969143377,0.0669035455153557,0.080152750513717,0.0868277032448462,0.0660165929242651,0.0812523762271504,0.0889977307261098,0.105469254889302,0.0750782910113513,0.110074382702784,0.122622659676777,0.115105496897372
"Paria 8",0.0854509361305346,0.0914002607721638,0.0886059479596172,0.0723665298589693,0.0590008772397989,0.0604737221671796,0.062767699581628,0.0764683693832131,0.0344540140509095,0.037789475305303,0.0791156000526818,0.0812701798631307,0.0476504741096513,0.0690541052766049,0.0378864257558685,0.033665519063567,0,0.0845383375373316,0.0747938245828144,0.0584645531330536,0.0644742028409285,0.0528992427955088,0.0800825550115926,0.0768688224423998,0.0812533053544483,0.0819642800483793,0.0771279929041061,0.0855710262288488,0.0779222378532909,0.0889312643862196,0.0793976894706637,0.0927815740099793,0.0906768753690869,0.0833078308913627,0.0905181281558206,0.0826851257991919,0.0862048679000169,0.125065184237854,0.0816739628105909,0.0268130343614583,0.0843989729143877,0.123844480633901,0.0956149356682211,0.192411863195142,0.0836110624034981,0.101132309793315,0.105123701065503,0.0826896836492719,0.0968016567227737,0.107442099999445,0.121136033003699,0.0932312120669106,0.129878857213518,0.120738006468157,0.124126802525256
"Shark river",0.0655168707590912,0.0845198272892571,0.0588695275533516,0.0588548819948131,0.0627203057741586,0.0516944899208305,0.06173681430649,0.0562296015367644,0.0568152340379179,0.074210557087203,0.0116718984714368,0.0100375935435053,0.086615862602239,0.0907805607229083,0.0664778223474812,0.0687279580133681,0.0845383375373316,0,0.0665821142595663,0.0732554925619545,0.0626297082356048,7.42644975779377e-17,0.0589480306771205,0.0658967068475219,0.0734584617315184,0.063515857564524,0.0631394316188146,0.0594965134021171,0.0641376580184529,0.0725357958099564,0.0674306810152335,0.0855567359479404,0.0557400178671645,0.0630238923882469,0.0929604252174432,0.0610784014126562,0.0706386264113211,0.140210199530778,0.060815028060418,0.0497899151990947,0.0537291793119122,0.111660280629134,0.0986925632644801,0.191870936035455,0.0605708087980192,0.101797920970043,0.0985733963494698,0.0578767539646115,0.0953067794977658,0.126687126996136,0.128056697951231,0.0870327817904195,0.137696394048672,0.163010977150376,0.141091475252197
"San Souci",0.0656279171924963,0.0738375530844868,0.0616300637277071,0.059801728516989,0.0569562724905379,0.0395864131923109,0.0511718953793032,0.0561275953674665,0.0575875925259157,0.0621396815915119,0.0689503007800752,0.0724319944581005,0.0732213544821906,0.0884080849264623,0.049110332592967,0.0568361437517444,0.0747938245828144,0.0665821142595663,0,0.0955521924796288,0.0704548237041587,8.75332968019693e-17,0.0424123370768246,0.0644949492917295,0.0707465723481702,0.0566680710155685,0.0496397605885068,0.0476979843871593,0.0777240043144109,0.0588956608932737,0.0710880455712361,0.0776402906883133,0.0444026387093573,0.0489136074561062,0.0946425997525456,0.0689911326112918,0.0628815329369391,0.0887244990608696,0.0579278052144622,0.0386145625539408,0.0618941956239127,0.123180216673095,0.0846681257307756,0.224712643724986,0.0487701046616659,0.0890299659910941,0.0725131399592007,0.0513947619079164,0.076457910467384,0.0871587907528059,0.0924227352955063,0.0898963656517819,0.128620704357509,0.156565870250954,0.12988740154627
"Mission River",0.0715105581221813,0.102299759644668,0.0908680099328252,0.0649576677400981,0.0685391301335212,0.0774631032113579,0.0706678291487387,0.0682198264761473,0.051357086281397,0.0536271178020854,0.0432715092831424,0.0524965773560402,0.0602511024062114,0.060074109785513,0.0655811067521722,0.0631690901681529,0.0584645531330536,0.0732554925619545,0.0955521924796288,0,0.0556273457153983,7.90137627670663e-17,0.0879214230616036,0.0894847069409076,0.0802319788212065,0.0846990465716425,0.0720099130554407,0.0825091918459545,0.0802710509664266,0.086459029216914,0.0662233479304579,0.0831208960138387,0.0970139972476706,0.0977519950209431,0.0982439228075291,0.0729364387145584,0.0890151611726839,0.135702965579901,0.0886386101593898,0.0111014412538383,0.0785065826472887,0.117152196932006,0.0989188502384011,0.0851023297939663,0.0864448569323218,0.0924430677529637,0.10396899097729,0.0798390735857807,0.105812921001529,0.121312313853154,0.128450417658674,0.0829580231979487,0.0816843540904943,0.0856355303908895,0.0851939559020232
"Tompire",0.0630009898780405,0.0935293426188669,0.0847388072601862,0.0541497071269516,0.0608893857260143,0.0660240306035942,0.0648129555356155,0.0742694156299772,0.048104845949713,0.0463549461719456,0.0887777184732084,0.0993182351015984,0.0529100134091749,0.0574480955350224,0.057288312389291,0.0558313159537011,0.0644742028409285,0.0626297082356048,0.0704548237041587,0.0556273457153983,0,0.0926381251777791,0.0793095765647965,0.0611872175614383,0.0583795946799751,0.0792091018503104,0.0830670545772139,0.0857022198043063,0.0445738521975027,0.0875852230044783,0.0848945789576846,0.0837435899767514,0.0813340074452285,0.074488218710634,0.0969043646468982,0.0965518392172517,0.0697148260115614,0.0836863704572013,0.0840062637813325,0.0906467172807415,0.0730183758994099,0.0926079641659744,0.0759706006930719,0.0573811927904991,0.0723017403149567,0.0843872272034431,0.0993696948112676,0.072373876865914,0.0726046151678207,0.0575148071042716,0.0729977608195813,0.103191960909893,0.0829553518933132,0.0995221221787258,0.123664796981386
"Cumana",0.042171375081197,0.0975746666113113,0.0608547384167775,0.00943959030699809,8.11704800082061e-17,0.0150353528829015,0.00898476686567156,0.0443002614649597,0.0270909285338325,7.06021892956655e-17,1.04200264596261e-16,1.09736825977408e-16,0.022814642724472,0.0336455534877844,0.0215699600664726,0.0306810202393456,0.0528992427955088,7.42644975779377e-17,8.75332968019693e-17,7.90137627670663e-17,0.0926381251777791,0,0.0318538146886314,0.031954503942057,7.85439047094436e-17,7.97907112761276e-17,8.57532553357092e-17,0.0129799588954706,0.0171947938502634,0.0350409297342476,0.055791067120386,0.0659070872883611,0.0138817770699674,0.030240041573486,0.0274818363373249,0.0676284291081391,0.0304179564094584,8.00993805574451e-17,5.57606408084691e-17,0.0306136369035502,0.0240443151298405,4.81622103686523e-17,0.0530831963834202,7.70371174062213e-17,0.0229161233440698,0.0607636166947611,0.0847368036459331,0.0111463518766734,6.52434673146228e-17,9.16644720983129e-17,7.26690311739277e-17,0.0767753096776764,8.04068649147724e-17,0.100685776735103,0.151366042448407
"Arima 1",0.0690117381692128,0.0546810756239617,0.0430472122782251,0.0533597120835094,0.0549242408271718,0.0374284141402792,0.0507334971551303,0.0425099797873265,0.0553653271044649,0.0689897250162116,0.0454948992291274,0.0437192806935283,0.0742209341592138,0.0911874672878808,0.0611981213745156,0.065525097972425,0.0800825550115926,0.0589480306771205,0.0424123370768246,0.0879214230616036,0.0793095765647965,0.0318538146886314,0,0.0667384981082822,0.0548586062066132,0.0244729558382184,0.0471004758278822,0.0339533431244212,0.0767737777015048,0.0338542884241563,0.0583622028356583,0.0706804895786786,0.0346806265893989,0.0378743248588686,0.0990978773353184,0.0512499329726492,0.0454060709181333,0.0899444375226452,0.0434844512326628,0.0464986100673917,0.0544489292600167,0.136652524987037,0.0879554430697578,0.230690595229205,0.0436539021330438,0.0851641762425354,0.0598653965635791,0.0438697135243319,0.0767540152275512,0.123448810750365,0.126613833611444,0.0734121683384684,0.115583783656246,0.130262616214255,0.111971833600663
"Arima 2",0.0743962071212243,0.0721514882027633,0.0700009353650131,0.0598207991904447,0.0646175768996213,0.0617024653548914,0.0636931759913725,0.0623015919411623,0.0565510138938864,0.0686341510804084,0.0290763049989782,0.0395710057396361,0.0757648956393601,0.0779988784360043,0.0647814254328219,0.0649557520283304,0.0768688224423998,0.0658967068475219,0.0644949492917295,0.0894847069409076,0.0611872175614383,0.031954503942057,0.0667384981082822,0,0.06706347339034,0.0659215303804896,0.06439977272777,0.0599315177663425,0.0718199727322476,0.0622771129185011,0.0580755056312246,0.0551436157353666,0.0623352182245132,0.0578765723172861,0.0868988148408243,0.0694307634046031,0.0671781489681567,0.109995978385224,0.0653110331751824,0.0789106910249265,0.0665045345878097,0.129165363689386,0.0814838647282167,0.170146513502327,0.0499834172514167,0.0790186783734642,0.0820008383510233,0.0441754572006436,0.0578654576398841,0.0996592759861955,0.083986448040553,0.07151051785156,0.0835292138757776,0.119666876044389,0.100113012434183
"El cedro 1",0.0764823715904242,0.0803569894430669,0.0787680149116006,0.0637123064883054,0.0690084857891174,0.0694946929844249,0.0684778971622674,0.0667731751503568,0.0561752066603097,0.0697480950776797,0.00301591299340805,0.00320706531451156,0.0783865862004193,0.0821654150737971,0.0696529457918443,0.066757596681385,0.0812533053544483,0.0734584617315184,0.0707465723481702,0.0802319788212065,0.0583795946799751,7.85439047094436e-17,0.0548586062066132,0.06706347339034,0,0.0479215440568605,0.0700848344312953,0.0581450659833162,0.0643904093834654,0.0706425071848821,0.0586968125834292,0.0840046479806543,0.0692830627227684,0.0542160690274611,0.0879734051370962,0.0753455911868452,0.0438639417472153,0.117851660330497,0.0589047889981721,0.0399659053965704,0.0766639981491153,0.115455120715402,0.0936659265188027,0.20877891301602,0.0632110678994854,0.0967880323855331,0.0892854098532445,0.0629492723871118,0.0888638041146186,0.113313933563041,0.11723686626585,0.0903429832066795,0.115754560451882,0.0963152323327637,0.121062909799139
"El cedro 2",0.0731321007734617,0.0665257566118134,0.0528927942019168,0.0574287013986769,0.0635590128671732,0.0498199532911489,0.0574179687623591,0.0466061780304003,0.0572442330829942,0.0752533685288264,0.0476677989297512,0.0492336321869971,0.0855012235514566,0.0914224146251749,0.0665581032295555,0.0690931711022089,0.0819642800483793,0.063515857564524,0.0566680710155685,0.0846990465716425,0.0792091018503104,7.97907112761276e-17,0.0244729558382184,0.0659215303804896,0.0479215440568605,0,0.054298933631867,0.0319817901719746,0.0788797078476769,0.039865375183253,0.0582206921225906,0.0733009296572927,0.0423065452786638,0.0377311413025627,0.0984586968267704,0.0649429123653407,0.0389054681410093,0.0933952856540182,0.0400826924799898,0.0624138599837078,0.0592241892350483,0.134485152685488,0.083389950766033,0.213915181360364,0.0454708636237662,0.0843634969906415,0.072363564548194,0.0432396669099289,0.0766763399794468,0.122900674766956,0.121601881718452,0.0739281136216342,0.107599201392895,0.116366629567676,0.12120300646335
"Guanapo 1",0.0696288246870544,0.0726260560120214,0.0578547102288703,0.0554514402034867,0.0572770009356824,0.0490998558785441,0.0556465119484145,0.053787156743748,0.056195749300116,0.0639638152356236,0.0531710103054498,0.0565697882369852,0.076393024208869,0.0878941423368263,0.0581014831864888,0.06100072454437,0.0771279929041061,0.0631394316188146,0.0496397605885068,0.0720099130554407,0.0830670545772139,8.57532553357092e-17,0.0471004758278822,0.06439977272777,0.0700848344312953,0.054298933631867,0,0.0339305560124949,0.067722996732694,0.0589303154930446,0.0660740973648207,0.0763806297908671,0.0544703288672068,0.0613185787480007,0.0871872724504683,0.0619125330806526,0.0639488917023679,0.114400243477698,0.0504786191642918,0.0740546581020708,0.05736140149218,0.125593282426624,0.0823962888083108,0.195679678243528,0.0485100850063716,0.0755920673581046,0.0790000763107189,0.0438793795909034,0.0784193251542136,0.10858495373326,0.117526753122463,0.0743226162375113,0.11432871512203,0.156936966320667,0.123335698600668
"Guanapo 2",0.0748683600304447,0.0635639661382337,0.0512127688673005,0.054096443499334,0.0579239138752473,0.045360953639856,0.0538031355490324,0.0445625392725118,0.0565915495962046,0.0727527111287083,0.0421425725405548,0.0429713114322252,0.0819189031831654,0.0898680293408748,0.0626856898431112,0.0683986367274169,0.0855710262288488,0.0594965134021171,0.0476979843871593,0.0825091918459545,0.0857022198043063,0.0129799588954706,0.0339533431244212,0.0599315177663425,0.0581450659833162,0.0319817901719746,0.0339305560124949,0,0.0815722437817162,0.0368507352490521,0.0633933160698874,0.0716166833395316,0.0388216574575036,0.0452530135507869,0.089831423406523,0.0586308791603807,0.0533199380286427,0.0883444036638507,0.0370272315771474,0.0748391602502208,0.0490113780678117,0.134283397399325,0.0750863841630781,0.199781112525366,0.0393538520539818,0.0651973098159901,0.0660486704504179,0.0348943828347383,0.0670324358806881,0.117421275173116,0.115084440948214,0.063531494155517,0.100596865629112,0.14484012727341,0.118692526447275
"Aripo 1",0.0789371329929065,0.0875629178754856,0.0775774934960234,0.0600349760093565,0.0691925151192691,0.0727952579085242,0.0675312282751714,0.0660966380325601,0.0534070307092877,0.0594612244850766,0.0256058963884961,0.0268279652280011,0.0640226219661689,0.0617910443370938,0.0675888199978003,0.0663756292844064,0.0779222378532909,0.0641376580184529,0.0777240043144109,0.0802710509664266,0.0445738521975027,0.0171947938502634,0.0767737777015048,0.0718199727322476,0.0643904093834654,0.0788797078476769,0.067722996732694,0.0815722437817162,0,0.0931114944340467,0.0731991039116841,0.0870653496403226,0.0832684954511,0.0850457994147167,0.0818458470236428,0.0711590133214351,0.0791444040945871,0.139308827411856,0.08102412406811,0.0702810378242087,0.0782728909058815,0.0965435259168305,0.0966958385011181,0.182896895769102,0.0773420960190714,0.0950251724338348,0.104288539893363,0.0748566576375581,0.0887673317976295,0.0883230660827367,0.113214791352071,0.0953984926091275,0.082015235948748,0.103584921365336,0.107736825090253
